Name,Locus,Genome,Contig,Start,Stop,Protein_ID,Coding_Strand,Proteome_ID,Proteome_Product,Proteome_Gene_Name,Proteome_Species,Proteome_BSR,Name
CBO_0346,GCA-001273255.1-protein3063,GCA_001273255.1,LGIK01000051.1,164662,165375,3063,1,tr|A5I1U1|A5I1U1_CLOBH,Membrane protein,CBO1462,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0346
CBO_0347,GCA-001276985.1-protein1259,GCA_001276985.1,LHUL01000027.1,104962,105414,1259,-1,tr|A5HYM9|A5HYM9_CLOBH,Membrane protein,CBO0335,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0347
CBO_0348,GCA-001273255.1-protein837,GCA_001273255.1,LGIK01000019.1,208566,209597,837,1,tr|A5HZG1|A5HZG1_CLOBH,Arsenical resistance operon repressor,CBO0617,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0348
CBO_0349,GCA-001273255.1-protein2123,GCA_001273255.1,LGIK01000043.1,20490,21131,2123,1,tr|A5I7M3|A5I7M3_CLOBH,RNA polymerase sigma-H factor,sigH,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.89,CBO_0349
CBO_0350,GCA-054635115.1-protein1681,GCA_054635115.1,NKRU01000003.1,245807,246304,1681,1,tr|A5I5V7|A5I5V7_CLOBH,HNH endonuclease,CBO2871,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.95,CBO_0350
CBO_0351,GCA-001273255.1-protein1657,GCA_001273255.1,LGIK01000026.1,55692,55901,1657,-1,tr|A5I153|A5I153_CLOBH,Uncharacterized protein,CBO1216,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0351
CBO_0352,GCA-016989775.1-protein605,GCA_016989775.1,NKSK01000001.1,630503,631561,605,-1,tr|A5HZK9|A5HZK9_CLOBH,Metallo-beta-lactamase superfamily potein,CBO0666,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.91,CBO_0352
CBO_0353,GCA-001273255.1-protein562,GCA_001273255.1,LGIK01000017.1,46320,47387,562,-1,tr|A5I0G5|A5I0G5_CLOBH,"Iron(III) dicitrate ABC transporter,permease protein",CBO0973,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0353
CBO_0354,GCA-001273255.1-protein2482,GCA_001273255.1,LGIK01000047.1,66319,66918,2482,1,tr|A5I5I1|A5I5I1_CLOBH,Chemotaxis protein CheC,cheC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0354
CBO_0355,GCA-001273255.1-protein3067,GCA_001273255.1,LGIK01000051.1,167276,167728,3067,1,sp|A5I1U5|SEPF_CLOBH,Cell division protein SepF,sepF,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0355
CBO_0356,GCA-001273255.1-protein3591,GCA_001273255.1,LGIK01000009.1,22097,23605,3591,1,tr|A5I0T8|A5I0T8_CLOBH,Metallo-beta-lactamase superfamily protein,CBO1096,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0356
CBO_0357,GCA-001273255.1-protein1605,GCA_001273255.1,LGIK01000026.1,8250,8897,1605,-1,tr|A5I1A8|A5I1A8_CLOBH,Aldolase,CBO1270,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0357
CBO_0358,GCA-001273255.1-protein2445,GCA_001273255.1,LGIK01000047.1,16802,17839,2445,-1,tr|A5I5L8|A5I5L8_CLOBH,Carboxypeptidase,CBO2782,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0358
CBO_0359,GCA-001273255.1-protein2884,GCA_001273255.1,LGIK01000050.1,44288,45004,2884,1,tr|A5I4T6|A5I4T6_CLOBH,Neutral zinc metallopeptidase,CBO2508,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.95,CBO_0359
CBO_0360,GCA-001273255.1-protein3616,GCA_001273255.1,LGIK01000009.1,49124,50380,3616,-1,tr|A5I0R2|A5I0R2_CLOBH,Pyridine nucleotide-disulphide oxidoreductase,CBO1069,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0360
CBO_0361,GCA-001273255.1-protein2798,GCA_001273255.1,LGIK01000005.1,129591,130808,2798,1,tr|A5I5T9|A5I5T9_CLOBH,Na(+)/H(+) antiporter,CBO2853,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0361
CBO_0362,GCA-001273255.1-protein1858,GCA_001273255.1,LGIK01000030.1,15554,16273,1858,1,sp|A5I814|RSMG_CLOBH,Ribosomal RNA small subunit methyltransferase G,rsmG,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0362
CBO_0363,GCA-001273255.1-protein2076,GCA_001273255.1,LGIK01000037.1,14540,15763,2076,1,tr|A5I2T2|A5I2T2_CLOBH,Exported protein,CBO1810,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0363
CBO_0364,GCA-001273255.1-protein3353,GCA_001273255.1,LGIK01000054.1,160251,161516,3353,1,tr|A5HY96|A5HY96_CLOBH,Magnesium binding ptotein,CBO0203,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0364
CBO_0365,GCA-001273255.1-protein276,GCA_001273255.1,LGIK01000012.1,291257,292318,276,1,tr|A5I3C7|A5I3C7_CLOBH,Alanine racemase,CBO2002,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.9,CBO_0365
CBO_0366,GCA-001273255.1-protein2479,GCA_001273255.1,LGIK01000047.1,62356,63420,2479,1,tr|A5I5I4|A5I5I4_CLOBH,Protein-glutamate methylesterase/protein-glutamine glutaminase,cheB,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0366
CBO_0367,GCA-001273255.1-protein2533,GCA_001273255.1,LGIK01000047.1,117596,118444,2533,1,tr|A5I5C8|A5I5C8_CLOBH,Possible methyl-accepting chemotaxis protein,CBO2694,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0367
CBO_0368,GCA-001273255.1-protein1540,GCA_001273255.1,LGIK01000025.1,175069,176454,1540,-1,sp|A5I556|VATB_CLOBH,V-type ATP synthase beta chain,atpB,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0368
CBO_0369,GCA-001273255.1-protein2990,GCA_001273255.1,LGIK01000051.1,83705,85594,2990,1,tr|A5I1M4|A5I1M4_CLOBH,"ABC transporter, permease protein",CBO1392,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0369
CBO_0370,GCA-001273255.1-protein3052,GCA_001273255.1,LGIK01000051.1,151477,152115,3052,-1,tr|A5I1T0|A5I1T0_CLOBH,Hemolysin,CBO1450,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0370
CBO_0371,GCA-001273255.1-protein730,GCA_001273255.1,LGIK01000019.1,82576,83319,730,1,tr|A5HZ47|A5HZ47_CLOBH,3-oxoacyl-[acyl-carrier protein] reductase,CBO0502,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0371
CBO_0372,GCA-001273255.1-protein1541,GCA_001273255.1,LGIK01000025.1,176447,178225,1541,-1,sp|A5I557|VATA_CLOBH,V-type ATP synthase alpha chain,atpA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0372
CBO_0373,GCA-001273255.1-protein1193,GCA_001273255.1,LGIK01000021.1,79184,79405,1193,-1,tr|A5I4H1|A5I4H1_CLOBH,Membrane protein,CBO2397,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0373
CBO_0374,GCA-001573935.1-protein913,GCA_001573935.1,LFPP01000014.1,138146,139603,913,1,tr|A5I413|A5I413_CLOBH,Anaerobic glycerol-3-phosphate dehydrogenase protein,CBO2244,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.95,CBO_0374
CBO_0375,GCA-001273255.1-protein346,GCA_001273255.1,LGIK01000012.1,378156,379007,346,1,tr|A5I353|A5I353_CLOBH,Membrane protein,CBO1928,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.92,CBO_0375
CBO_0376,GCA-001273255.1-protein2621,GCA_001273255.1,LGIK01000049.1,69406,69816,2621,1,tr|A5I6C6|A5I6C6_CLOBH,DNA-binding protein,CBO3045,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0376
CBO_0377,GCA-001273255.1-protein2283,GCA_001273255.1,LGIK01000043.1,182579,183781,2283,1,tr|A5I761|A5I761_CLOBH,Aspartokinase,lysC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0377
CBO_0378,GCA-001574175.1-protein1499,GCA_001574175.1,LFRA01000017.1,127714,128715,1499,1,tr|A5I227|A5I227_CLOBH,2-hydroxyacyl-CoA dehydratase,CBO1552,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0378
CBO_0379,GCA-001574355.1-protein3307,GCA_001574355.1,LFQF01000072.1,405527,406903,3307,1,tr|A5I5S5|A5I5S5_CLOBH,Multidrug export protein MepA,CBO2840,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.92,CBO_0379
CBO_0380,GCA-001273255.1-protein3173,GCA_001273255.1,LGIK01000051.1,275837,277087,3173,1,tr|A5I253|A5I253_CLOBH,Sodium/alanine symporter,CBO1579,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0380
CBO_0381,GCA-001273255.1-protein3542,GCA_001273255.1,LGIK01000007.1,7109,7579,3542,1,tr|A5HYT2|A5HYT2_CLOBH,ATPase P,CBO0388,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0381
CBO_0382,GCA-001273255.1-protein1565,GCA_001273255.1,LGIK01000025.1,203263,203532,1565,-1,tr|A5I581|A5I581_CLOBH,Flagellar biosynthetic protein FliQ,fliQ,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0382
CBO_0383,GCA-001273255.1-protein1967,GCA_001273255.1,LGIK01000030.1,121153,121422,1967,1,tr|A5I7Q5|A5I7Q5_CLOBH,Cell division protein,divIC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0383
CBO_0384,GCA-054635055.1-protein812,GCA_054635055.1,NKRQ01000001.1,886861,887913,812,-1,tr|A5HZX5|A5HZX5_CLOBH,Type VI secretion system spike protein VgrG3-like C-terminal domain-containing protein,CBO0782,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.94,CBO_0384
CBO_0385,GCA-001273255.1-protein91,GCA_001273255.1,LGIK01000012.1,85122,86393,91,-1,tr|A5I3X2|A5I3X2_CLOBH,"2-hydroxyacyl-CoA dehydratase,D-component",CBO2201,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0385
CBO_0386,GCA-001273255.1-protein2354,GCA_001273255.1,LGIK01000043.1,275960,277390,2354,1,sp|A5I6Z2|GATB_CLOBH,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,gatB,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0386
CBO_0387,GCA-001573175.1-protein3164,GCA_001573175.1,LFOK01000007.1,100696,101301,3164,1,tr|A5I0J4|A5I0J4_CLOBH,Anaerobic ribonucleoside-triphosphate reductase-activating protein,nrdG,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0387
CBO_0388,GCA-001273255.1-protein2495,GCA_001273255.1,LGIK01000047.1,75846,76235,2495,1,tr|A5I5G8|A5I5G8_CLOBH,Flagellar secretion chaperone FliS,fliS,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0388
CBO_0389,GCA-001273255.1-protein883,GCA_001273255.1,LGIK01000019.1,259599,260354,883,1,tr|A5HZL2|A5HZL2_CLOBH,ABC transporter ATP-binding protein,CBO0669,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0389
CBO_0390,GCA-001273255.1-protein2199,GCA_001273255.1,LGIK01000043.1,83308,84057,2199,1,tr|A5I7E7|A5I7E7_CLOBH,Subunit of pyruvate:flavodoxin oxidoreductase,CBO3422,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0390
CBO_0391,GCA-001273255.1-protein1916,GCA_001273255.1,LGIK01000030.1,69584,70960,1916,-1,tr|A5I7V7|A5I7V7_CLOBH,Thiazole biosynthesis protein,thiH,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0391
CBO_0392,GCA-002103885.1-protein3625,GCA_002103885.1,MWJA01000007.1,89933,91138,3625,-1,tr|A5I004|A5I004_CLOBH,Amidohydrolase,CBO0812,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.95,CBO_0392
CBO_0393,GCA-001273255.1-protein3076,GCA_001273255.1,LGIK01000051.1,175282,175725,3076,1,tr|A5I1V4|A5I1V4_CLOBH,Lipoprotein signal peptidase,lspA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0393
CBO_0394,GCA-001573825.1-protein2455,GCA_001573825.1,LFPL01000040.1,5509,6012,2455,-1,tr|A5HXT2|A5HXT2_CLOBH,NAD(+) diphosphatase,CBO0037,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.94,CBO_0394
CBO_0395,GCA-001273255.1-protein2830,GCA_001273255.1,LGIK01000005.1,171297,172613,2830,1,tr|A5I5Q6|A5I5Q6_CLOBH,Pyridine nucleotide-disulphide oxidoreductase,CBO2820,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0395
CBO_0396,GCA-001273255.1-protein2831,GCA_001273255.1,LGIK01000005.1,172613,173848,2831,1,tr|A5I5Q5|A5I5Q5_CLOBH,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",CBO2819,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0396
CBO_0397,GCA-001276985.1-protein927,GCA_001276985.1,LHUL01000026.1,454891,455385,927,-1,tr|A5I5U6|A5I5U6_CLOBH,Membrane protein,CBO2860,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.82,CBO_0397
CBO_0398,GCA-001273255.1-protein42,GCA_001273255.1,LGIK01000012.1,31063,31605,42,1,tr|A5I416|A5I416_CLOBH,Appr-1-p processing enzyme family protein,CBO2247,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0398
CBO_0399,GCA-001273255.1-protein3103,GCA_001273255.1,LGIK01000051.1,203211,204233,3103,1,tr|A5I1Y2|A5I1Y2_CLOBH,Aspartate--ammonia ligase,asnA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0399
CBO_0400,GCA-001273255.1-protein2655,GCA_001273255.1,LGIK01000049.1,100328,101221,2655,-1,tr|A5I6F8|A5I6F8_CLOBH,Nucleotidyltransferase,CBO3077,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0400
CBO_0401,GCA-001273255.1-protein64,GCA_001273255.1,LGIK01000012.1,55820,56584,64,1,tr|A5I3Z7|A5I3Z7_CLOBH,Chemotaxis MotB protein,CBO2226,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.97,CBO_0401
CBO_0402,GCA-002103875.1-protein1466,GCA_002103875.1,MWIZ01000002.1,34503,37007,1466,-1,sp|A5I6G4|PBPA_CLOBH,Penicillin-binding protein 1A,pbpA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0402
CBO_0403,GCA-001273255.1-protein2122,GCA_001273255.1,LGIK01000043.1,19907,20416,2122,1,tr|A5I7M4|A5I7M4_CLOBH,NYN domain-containing protein,CBO3498,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0403
CBO_0404,GCA-001273255.1-protein2703,GCA_001273255.1,LGIK01000005.1,14957,15895,2703,1,sp|A5I638|PRMA_CLOBH,Ribosomal protein L11 methyltransferase,prmA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0404
CBO_0405,GCA-001273255.1-protein2232,GCA_001273255.1,LGIK01000043.1,113788,114678,2232,1,tr|A5I7B4|A5I7B4_CLOBH,Cell division protein FtsX,ftsX,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0405
CBO_0406,GCA-001273255.1-protein3004,GCA_001273255.1,LGIK01000051.1,99327,99674,3004,-1,tr|A5I1N8|A5I1N8_CLOBH,Membrane protein,CBO1406,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0406
CBO_0407,GCA-001273255.1-protein2034,GCA_001273255.1,LGIK01000036.1,1017,3314,2034,1,tr|A5I1C2|A5I1C2_CLOBH,"Xanthine dehydrogenase, molybdenum binding subunit",xdhA2,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0407
CBO_0408,GCA-001273255.1-protein3108,GCA_001273255.1,LGIK01000051.1,211572,212063,3108,-1,tr|A5I1Y7|A5I1Y7_CLOBH,YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein,CBO1509,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0408
CBO_0409,GCA-001273255.1-protein2148,GCA_001273255.1,LGIK01000043.1,43638,43850,2148,1,sp|A5I7J8|RL29_CLOBH,Large ribosomal subunit protein uL29,rpmC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0409
CBO_0410,GCA-001273255.1-protein3196,GCA_001273255.1,LGIK01000051.1,305067,306731,3196,1,tr|A5I276|A5I276_CLOBH,Alpha-amylase,malL,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0410
CBO_0411,GCA-016990285.1-protein1657,GCA_016990285.1,NQVS01000001.1,1852166,1852573,1657,-1,tr|A5I411|A5I411_CLOBH,Membrane protein,CBO2242,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.81,CBO_0411
CBO_0412,GCA-001273255.1-protein2660,GCA_001273255.1,LGIK01000049.1,104539,105093,2660,-1,tr|A5I6G3|A5I6G3_CLOBH,Sporulation protein YunB,CBO3082,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0412
CBO_0413,GCA-001273255.1-protein1609,GCA_001273255.1,LGIK01000026.1,11884,14109,1609,-1,tr|A5I1A4|A5I1A4_CLOBH,site-specific DNA-methyltransferase (adenine-specific),CBO1266,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0413
CBO_0414,GCA-001273255.1-protein2878,GCA_001273255.1,LGIK01000050.1,37979,38608,2878,1,tr|A5I4U2|A5I4U2_CLOBH,Guanylate kinase,gmk,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0414
CBO_0415,GCA-001273255.1-protein1039,GCA_001273255.1,LGIK01000019.1,434372,435025,1039,1,tr|A5I043|A5I043_CLOBH,Pentapeptide repeat-containing protein,CBO0851,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0415
CBO_0416,GCA-001273255.1-protein2265,GCA_001273255.1,LGIK01000043.1,158580,159473,2265,1,tr|A5I780|A5I780_CLOBH,Activator of 2-hydroxyacyl-CoA-hydratase,CBO3355,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0416
CBO_0417,GCA-001273255.1-protein1334,GCA_001273255.1,LGIK01000023.1,28001,29011,1334,-1,tr|A5HYQ7|A5HYQ7_CLOBH,Membrane protein,CBO0363,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0417
CBO_0418,GCA-001273255.1-protein1898,GCA_001273255.1,LGIK01000030.1,52433,53179,1898,1,tr|A5I7X4|A5I7X4_CLOBH,3-oxoacyl-[acyl-carrier-protein] reductase,fabG,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0418
CBO_0419,GCA-001273255.1-protein257,GCA_001273255.1,LGIK01000012.1,269461,269673,257,1,tr|A5I3E6|A5I3E6_CLOBH,DNA-binding protein,CBO2022,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0419
CBO_0420,GCA-001273255.1-protein2212,GCA_001273255.1,LGIK01000043.1,95885,96367,2212,-1,tr|A5I7D4|A5I7D4_CLOBH,Spore coat protein,CBO3409,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0420
CBO_0421,GCA-001573175.1-protein2230,GCA_001573175.1,LFOK01000038.1,6098,7003,2230,1,tr|A5I6R3|A5I6R3_CLOBH,Pyruvate formate-lyase 2 activating enzyme,CBO3184,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.81,CBO_0421
CBO_0422,GCA-001273255.1-protein1928,GCA_001273255.1,LGIK01000030.1,81445,81924,1928,-1,sp|A5I7U4|RLMH_CLOBH,Ribosomal RNA large subunit methyltransferase H,rlmH,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0422
CBO_0423,GCA-001273255.1-protein2732,GCA_001273255.1,LGIK01000005.1,45844,48006,2732,1,tr|A5I609|A5I609_CLOBH,Membrane protein,CBO2927,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0423
CBO_0424,GCA-001273255.1-protein1875,GCA_001273255.1,LGIK01000030.1,27153,28157,1875,1,tr|A5I7Z7|A5I7Z7_CLOBH,Membrane protein,CBO3624,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0424
CBO_0425,GCA-001273255.1-protein690,GCA_001273255.1,LGIK01000019.1,40932,41501,690,1,tr|A5HZ06|A5HZ06_CLOBH,Membrane protein,CBO0462,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0425
CBO_0426,GCA-001573235.1-protein1576,GCA_001573235.1,LFOL01000025.1,4901,6364,1576,1,tr|A5I1G1|A5I1G1_CLOBH,Cell wall hydrolase,CBO1326,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.86,CBO_0426
CBO_0427,GCA-001273255.1-protein1158,GCA_001273255.1,LGIK01000021.1,40626,41384,1158,1,tr|A5I4K8|A5I4K8_CLOBH,Isoprenyl transferase,uppS,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0427
CBO_0428,GCA-001573255.1-protein927,GCA_001573255.1,LFON01000016.1,58827,60365,927,1,sp|A5I5V9|PUR9_CLOBH,Bifunctional purine biosynthesis protein PurH,purH,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.95,CBO_0428
CBO_0429,GCA-001273255.1-protein3281,GCA_001273255.1,LGIK01000054.1,84874,86244,3281,1,tr|A5HY24|A5HY24_CLOBH,Sporulation protein,CBO0128,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0429
CBO_0430,GCA-001273255.1-protein1941,GCA_001273255.1,LGIK01000030.1,94029,95075,1941,-1,tr|A5I7T1|A5I7T1_CLOBH,Membrane protein,CBO3556,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0430
CBO_0431,GCA-001273255.1-protein2481,GCA_001273255.1,LGIK01000047.1,64218,66293,2481,1,tr|A5I5I2|A5I5I2_CLOBH,Chemotaxis protein CheA,cheN,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0431
CBO_0432,GCA-001273255.1-protein526,GCA_001273255.1,LGIK01000017.1,14894,15973,526,1,sp|A5I0C8|CBID_CLOBH,Cobalt-precorrin-5B C(1)-methyltransferase,cbiD,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0432
CBO_0433,GCA-001273255.1-protein1011,GCA_001273255.1,LGIK01000019.1,407520,408134,1011,1,tr|A5I011|A5I011_CLOBH,Alpha-ribazole phosphatase,cobC,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0433
CBO_0434,GCA-001273255.1-protein285,GCA_001273255.1,LGIK01000012.1,301504,302901,285,1,tr|A5I3B6|A5I3B6_CLOBH,"PTS system, IIbc component",CBO1991,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0434
CBO_0435,GCA-001273255.1-protein2008,GCA_001273255.1,LGIK01000034.1,18680,19366,2008,1,tr|A5HYP6|A5HYP6_CLOBH,Stage 0 sporulation protein A homolog,CBO0352,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0435
CBO_0436,GCA-001273255.1-protein166,GCA_001273255.1,LGIK01000012.1,170310,170576,166,1,tr|A5I3P4|A5I3P4_CLOBH,Uncharacterized protein,CBO2123,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.99,CBO_0436
CBO_0437,GCA-001273255.1-protein447,GCA_001273255.1,LGIK01000012.1,481713,481955,447,-1,tr|A5I2V2|A5I2V2_CLOBH,(2Fe-2S) ferredoxin domain-containing protein,CBO1829,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0437
CBO_0438,GCA-001273255.1-protein3054,GCA_001273255.1,LGIK01000051.1,154027,154497,3054,1,tr|A5I1T2|A5I1T2_CLOBH,Transcriptional regulator MraZ,mraZ,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.91,CBO_0438
CBO_0439,GCA-001273255.1-protein86,GCA_001273255.1,LGIK01000012.1,79767,80360,86,1,tr|A5I3X6|A5I3X6_CLOBH,Acetyltransferase (GNAT) family protein,CBO2205,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.98,CBO_0439
CBO_0440,GCA-001573255.1-protein1982,GCA_001573255.1,LFON01000028.1,25125,27437,1982,-1,tr|A5I6U5|A5I6U5_CLOBH,Formate acetyltransferase,pflA,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.96,CBO_0440
CBO_0441,GCA-001273255.1-protein2565,GCA_001273255.1,LGIK01000049.1,19639,19965,2565,-1,tr|A5I668|A5I668_CLOBH,Ribosomal processing cysteine protease Prp,CBO2988,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),1.0,CBO_0441
